review_id,clean_text,keywords,identified_themes,bank_name,rating
1d426479-7c59-42d4-b349-7bc3afaf374e,the app does not open sometimes it says coonection issue which i dont have and after it opens it has bugs while using its not smooth to work with please improve it,"open, app open, bug, smooth, say, improve, issue, work, app","App Reliability & Bugs, Transaction Performance, Mobile Banking Features",Bank of Abyssinia,1
be349d45-280d-4ecf-8d23-71c407bd38c6,"it's not working totally, what a useless app is it,","totally, useless app, useless, work, app","App Reliability & Bugs, Mobile Banking Features",Bank of Abyssinia,1
758affdf-42d5-466d-a18e-4c4bbeb738fd,"this app has become the most troubling every day. it doesn't work. i love the bank, and i hate the app","love bank, hate, day work, day, love, app, work, bank",Mobile Banking Features,Bank of Abyssinia,1
14bb95be-0bf2-43a7-8757-a4a82eeddd80,this is so disappointing app,"disappointing, app",Mobile Banking Features,Bank of Abyssinia,1
03bcdbc8-adcf-4f5d-b155-1001f6debab5,not yet completely working this app. i don't know when is it will be working properly! its sad!!!,"know work, sad, completely, app know, work app, work, work properly, properly, know, app","Transaction Performance, Mobile Banking Features",Bank of Abyssinia,1
2bf2f6fe-c408-4a46-9ca9-809df277d9e8,poor network,"network, poor",General Feedback,Bank of Abyssinia,1
95b8d5aa-aa79-40a8-b250-6bf68f7b9782,"it's not working as it was , so much need to improve, it was the best but not anymore","need improve, improve good, work need, improve, need, work, good",App Reliability & Bugs,Bank of Abyssinia,2
9813a786-cefe-4a1b-932e-e920944fadec,it's a useless app,"useless app, useless, app",Mobile Banking Features,Bank of Abyssinia,1
612a0e01-ba70-498b-a331-e93ce6adfce0,take some note from cbe mobile banking app it's the best banking app currently take some note and improve ur app sometimes u have to learn from the bests,"note, banking app, ur app, currently, best, banking, learn, cbe mobile banking, cbe mobile, ur","Mobile Banking Features, Transaction Performance",Bank of Abyssinia,1
82ae5caf-3c2c-4de2-81fa-6753f32c22a6,great,great,General Feedback,Bank of Abyssinia,5
b42ad5f5-049c-49dc-a13c-39b7414793d0,"i don't know what is wrong with boa as a bank in general. it's been going backwards since last year or so. the app is a disaster to use in every possible way. not stable to log in and very slow to perform transactions, couldn't take a screenshot (or can't even find the pictures even using its save screenshot option). most of the time, it fails to perform transactions and so on. simply, it's the worst!","perform, screenshot, transaction, know wrong, time fail, backwards, app disaster, stable, simply, option time","Transaction Performance, Account Access Issues, User Interface & Experience",Bank of Abyssinia,1
7ba41a81-13df-47f6-b720-cb60da94d7e2,nice,nice,General Feedback,Bank of Abyssinia,5
d65cb095-4aad-44b5-ace2-de0e6be51444,the previous version is better it doesn't work,"previous version, version work, previous, version, work",General Feedback,Bank of Abyssinia,1
5af4e484-25a8-4612-a21f-78d14133c52d,is it necessary to switch off developer options every time to use mobile banking,"time use, necessary, use mobile banking, use mobile, developer option time, switch developer option, switch developer, option time, switch, developer option","Transaction Performance, Mobile Banking Features",Bank of Abyssinia,1
c22c687c-b43d-418d-bd9a-c534c12bdee4,"i mean how could a big financial company like this, be this much irresponsible to release this app? you should be ashamed!","financial company, ashamed, company, release, mean, big, financial, like, app",Mobile Banking Features,Bank of Abyssinia,1
65f4e3f7-9ce6-409d-8f06-4479c3418d3f,goood,goood,General Feedback,Bank of Abyssinia,4
61776f16-8a06-4dee-bac3-c902ab447b13,review,review,General Feedback,Bank of Abyssinia,5
45b0b82d-0f4e-423c-b3d2-6241e89b24bb,bad app .,"bad app, bad, app",Mobile Banking Features,Bank of Abyssinia,1
9151c064-a00f-4efc-ad7a-1f632401b194,"this app takes too long time to be opened. and even it is not working simply as other banks application. why this app does not give a digital invoice. even, i am not able to find where the screeshot is kept after transaction. so, please the developer should fix all these.","time open, developer fix, app long time, app long, simply, long time, able, long, digital, developer","App Reliability & Bugs, Transaction Performance, Mobile Banking Features",Bank of Abyssinia,1
0ca7af9c-8acd-4e40-a06e-c6e886e84b41,good job,"good job, job, good",General Feedback,Bank of Abyssinia,5
03da81fe-f882-4c5f-ab9a-6fe98ff580c7,good,good,General Feedback,Bank of Abyssinia,5
a675a95c-617f-4cb3-9fe2-2ee0721daa04,good,good,General Feedback,Bank of Abyssinia,3
85a692a1-c9ed-4525-a373-8756f3b9724a,"worst app ever, not user friendly, even doesn't serve basic functionality correctly, takes to much time to login and navigate through the app, we expected more from this bank","navigate, time login, correctly, app expect, basic, app user friendly, functionality, app user, login, expect","User Interface & Experience, Mobile Banking Features, Account Access Issues",Bank of Abyssinia,1
7e4a7ccf-64df-4cbe-9a5b-f92e188de048,gamebela,,General Feedback,Bank of Abyssinia,1
56402226-89f9-4f56-9761-e0dfeed5718b,so poor app to use can't start up when open the app,"poor app, app use, start, open app, poor, open, app, use",Mobile Banking Features,Bank of Abyssinia,1
98b97eb6-5299-43f7-a372-45b0a486318b,"a total disaster of an app. always offline, never works, it's embarassing. i've lost hope and taken my business to a competitor","offline, total, disaster, hope, lose, business, work, app",Mobile Banking Features,Bank of Abyssinia,1
88e2b5f6-040e-452a-9bad-a98caa89cd95,harun tamam galanaa,,General Feedback,Bank of Abyssinia,3
ba879c5c-680b-4f62-867c-3f7e8fd1e694,gooood app my dear,"dear, app",Mobile Banking Features,Bank of Abyssinia,5
91b3d4e5-b3c9-4de6-8bbd-99cfec87e3d0,bad app,"bad app, bad, app",Mobile Banking Features,Bank of Abyssinia,1
501db4c8-f14f-4810-9590-d4ab79be84a2,wedi tekle .,,General Feedback,Bank of Abyssinia,5
0f22d859-973b-46a7-bf95-4e8e14affd35,best app,"good app, good, app",Mobile Banking Features,Bank of Abyssinia,5
a7f22b9a-35a4-4bb9-ba49-badf18ba0243,nice appp,nice,Mobile Banking Features,Bank of Abyssinia,5
0893e704-f5b8-49d8-b12d-dd7e8924daa6,dura nan fayyadaman ture amma garuu naaf hojjechaa hin jiru maaf?,,General Feedback,Bank of Abyssinia,5
6e039674-a668-43a6-8d89-201a4c32000e,"despite the enhanced technology you have, the application doesn't work properly, and it asks for the developer option to be turned off, fix that.","application work, technology, despite, enhance, work properly, properly, ask, turn, developer option, developer","App Reliability & Bugs, Mobile Banking Features",Bank of Abyssinia,3
a2b03cf9-f97f-487c-b55b-58acfe13b6ac,best,,General Feedback,Bank of Abyssinia,1
f3cb13b7-59a4-4910-8373-e7a7f3f9d1e9,very poor app b c highly slow to open the app,"slow open, app highly, poor app, open app, highly, poor, slow, open, app","Transaction Performance, Mobile Banking Features",Bank of Abyssinia,1
f2eec1d7-ae40-470e-b9f3-bd992ae32037,thank you,thank,General Feedback,Bank of Abyssinia,3
05a7adf0-3cd0-4f89-86da-35c241d648a4,awesome,awesome,General Feedback,Bank of Abyssinia,5
6dbac161-ee8d-451c-8474-f79f10705e4a,good,good,General Feedback,Bank of Abyssinia,5
dd890ab7-af02-4efa-8e9e-33316a7160bd,horrible,horrible,General Feedback,Bank of Abyssinia,1
b9ddd42d-164a-41e5-b5cd-55dd14cfbd8c,mostly not working,work,App Reliability & Bugs,Bank of Abyssinia,1
bd90f06d-8e5d-498a-b0be-de5110c3c700,"i can not open and use the application,please help me!","use application, application help, help, open, application, use","Customer Support, Mobile Banking Features",Bank of Abyssinia,5
fd6fe106-f83e-4e61-8f27-3555b7e5a227,don't trust this bank and its service.,"trust, service, bank","Customer Support, Security & Privacy",Bank of Abyssinia,1
7172704c-d6ab-4ee6-8c06-7e540a7d5fc7,so far good but always it lugs,"lug, far good, far, good",General Feedback,Bank of Abyssinia,3
e7724869-421f-4e36-be90-104ea76feb33,app isn't working,"app work, work, app",Mobile Banking Features,Bank of Abyssinia,1
e8af57ac-dc4a-452b-9bc5-4787b61f6f04,best app,"good app, good, app",Mobile Banking Features,Bank of Abyssinia,5
13cb3aad-a536-447c-8e30-2d7eaedcf5e4,"the application used to work well. but after updates i'm not able to use the forgot password feature, which is blocking me from accessing it as a whole.","block, application work, work update, able, password, access, feature, application, update, use","Account Access Issues, Mobile Banking Features, App Reliability & Bugs",Bank of Abyssinia,1
1b043c6b-bf34-4b3b-a43b-a35d2613fb26,excellent app,"excellent app, excellent, app","Customer Support, Mobile Banking Features",Bank of Abyssinia,5
73bf10cd-963e-4696-879a-442ec5a4081a,good,good,General Feedback,Bank of Abyssinia,5
51aba586-a360-476f-8523-7772f8f56827,betanya gebre,,General Feedback,Bank of Abyssinia,3
9fa13def-7ef1-4e33-bbd4-24d4a4c2c1b0,i dont recommand it to any one,,General Feedback,Bank of Abyssinia,1
a5c6ec4a-ac4e-4ab7-83dd-271c28d11492,the worst app ever,"bad app, bad, app",Mobile Banking Features,Bank of Abyssinia,1
8f57afa4-5ed4-4db7-ab84-7b52045fa94e,"i'm sick and tiered of enabling and disabling developer option everytime i use this app. maybe you know it maybe you dont, fix it please it's anoying","maybe, enable disable, app maybe, everytime, disable developer option, disable developer, disable, enable, use app, know","Transaction Performance, App Reliability & Bugs, Mobile Banking Features",Bank of Abyssinia,1
41bb6fe1-d75c-4f69-908e-cd1000cb6b98,good,good,General Feedback,Bank of Abyssinia,5
a3d2eb8a-821b-4e7a-8811-13e76f876378,it is not work for my device,"work device, device, work",General Feedback,Bank of Abyssinia,5
8d23e22a-989a-44bb-81bf-3f34c868d3de,hi i have problem with this app boa mobile i don't know what is wrong with this app i did many times download but it's sam doesn't work if sam like that this app way i have to be customer with them how i know my account and checking save the book is no not enough alone,"know, know wrong, app way, app boa, wrong, app time, problem app, boa mobile, like app, app","Mobile Banking Features, Account Access Issues, Transaction Performance",Bank of Abyssinia,1
9ecfe32c-ca36-4390-b7c5-73b509e9eb02,the worst experience ever,"bad experience, experience, bad",General Feedback,Bank of Abyssinia,1
b15b04c0-0c95-4ef7-bf69-1a458114f5db,hussenaliumar,,General Feedback,Bank of Abyssinia,5
f1e5d348-ac0a-4b00-8bbf-9c71151e4b32,apollo's,apollo,General Feedback,Bank of Abyssinia,1
b154b824-bad2-4f80-8a15-979f76b46075,good,good,General Feedback,Bank of Abyssinia,5
861dcf64-11ac-4109-9416-dca7c303cdf9,plz fix the apps screenshot lovation hide from glarey share botten not work,"share, hide, app screenshot, fix app, screenshot, fix, work, app","User Interface & Experience, App Reliability & Bugs, Mobile Banking Features",Bank of Abyssinia,1
2e1591df-5f9d-40b1-a355-a88a45119960,it is ok,ok,General Feedback,Bank of Abyssinia,5
2518f2a5-fdbb-4ed2-bcc6-3c294e555e9d,very good,good,General Feedback,Bank of Abyssinia,5
2d922abd-f8f3-4666-8a3f-d83060bb7b5d,the worest mb app ever,"mb app, mb, wor, app",Mobile Banking Features,Bank of Abyssinia,1
ed313595-7211-44a8-9b42-defd7503aebc,nice looking app but a terrible user experience.,"terrible, user experience, look, experience, user, nice, app",Mobile Banking Features,Bank of Abyssinia,1
625e7055-7dac-4aa3-809b-de7ef171fb92,fast one,fast,General Feedback,Bank of Abyssinia,3
9815fc5f-16d3-4d71-bbd2-2e2712064003,good,good,General Feedback,Bank of Abyssinia,5
3283f02f-0474-44ec-b7d6-5e90c94d88d4,awesome application. but lately its crashing everytime i opened it.,"crash everytime, lately, everytime, awesome, crash, open, application","Transaction Performance, App Reliability & Bugs, Mobile Banking Features",Bank of Abyssinia,4
a2fb35e2-3828-4626-bddb-7443e04bf770,"it crashes frequently. it launches on android 8.1 but i don't think it actually works on versions less than 10. if so, it shouldn't be available for download by such devices to begin with, like many other finance apps are not. it was so much better three months ago, upgrades should be for the better.","10, crash frequently, actually work, ago, app month, launch, actually, finance, upgrade, available","App Reliability & Bugs, Mobile Banking Features",Bank of Abyssinia,1
83311c04-cd01-496c-b382-2caaa5132819,"shockingly bad! even when it decides to work, it's painfully slow and frustrating. such a shame that it has become a stain on an extraordinary bank","painfully, painfully slow, decide, shame, frustrating, slow, bad, work, bank",Transaction Performance,Bank of Abyssinia,1
07b686cc-bf94-4164-a731-684fa29cfb83,"this is not an appropriate app, i don't know how boa develops this app, i don't expect this much crazy and un confortable app form boa, i'm soory!!!","boa, form, appropriate, app expect, develop, app know, app, expect, know",Mobile Banking Features,Bank of Abyssinia,1
d6d25233-fa63-4817-a558-29517149d2ff,yegema app tish,app,Mobile Banking Features,Bank of Abyssinia,1
4efeb787-8699-49a8-a40a-03e5692a2596,good,good,General Feedback,Bank of Abyssinia,5
156a8b49-e33e-4088-85d6-879c49082f30,smart technology,"technology, smart",General Feedback,Bank of Abyssinia,5
